
sim version 3

  Key:

  1) Andscacs_0.93
  2) Arasan_21.3
  3) Booot_6.3.1
  4) Brainfish_2018
  5) Demolito_2019-07-15
  6) Deuterium_2019.1.36.50
  7) Deuterium_2019.2.37.52
  8) Ethereal_11.25
  9) Laser_1.7
 10) Pedone_1.9
 11) Rodent_0.277
 12) RofChade_2.1
 13) RubiChess_1.5
 14) Schooner_2.0.34
 15) Stockfish_10
 16) Texel_1.07
 17) Vajolet2_2.7
 18) Wasp_3.60

         1     2     3     4     5     6     7     8     9    10    11    12    13    14    15    16    17    18
  1.  ----- 50.16 52.02 54.19 51.49 51.77 51.54 54.26 53.53 48.88 53.34 52.86 50.46 54.56 53.27 52.23 52.28 54.62
  2.  50.16 ----- 50.01 50.98 50.76 51.13 51.20 51.72 52.15 49.19 52.20 52.21 50.13 51.52 50.02 52.85 51.98 52.37
  3.  52.02 50.01 ----- 53.64 51.14 51.71 51.10 52.89 53.00 48.88 51.77 51.88 49.16 52.77 53.53 50.62 52.31 53.23
  4.  54.19 50.98 53.64 ----- 51.65 52.68 52.99 56.11 56.66 48.83 51.97 55.88 51.49 55.37 63.38 51.65 54.08 54.53
  5.  51.49 50.76 51.14 51.65 ----- 54.47 54.30 53.02 53.67 53.08 53.20 54.03 51.99 56.74 51.47 51.58 53.84 56.41
  6.  51.77 51.13 51.71 52.68 54.47 ----- 65.94 53.69 54.66 52.03 53.96 54.92 51.41 53.44 52.56 51.95 54.10 56.30
  7.  51.54 51.20 51.10 52.99 54.30 65.94 ----- 53.73 54.54 51.64 53.86 55.06 51.70 53.06 52.69 51.75 53.76 55.89
  8.  54.26 51.72 52.89 56.11 53.02 53.69 53.73 ----- 57.94 50.33 53.59 58.35 54.09 55.68 56.66 54.05 54.20 56.35
  9.  53.53 52.15 53.00 56.66 53.67 54.66 54.54 57.94 ----- 51.63 54.69 56.43 53.45 55.79 56.34 54.01 55.13 57.99
 10.  48.88 49.19 48.88 48.83 53.08 52.03 51.64 50.33 51.63 ----- 51.64 50.38 49.36 51.64 48.96 50.59 51.19 53.64
 11.  53.34 52.20 51.77 51.97 53.20 53.96 53.86 53.59 54.69 51.64 ----- 53.97 52.62 54.29 51.83 55.05 52.56 56.02
 12.  52.86 52.21 51.88 55.88 54.03 54.92 55.06 58.35 56.43 50.38 53.97 ----- 54.19 55.20 55.81 54.19 53.88 56.68
 13.  50.46 50.13 49.16 51.49 51.99 51.41 51.70 54.09 53.45 49.36 52.62 54.19 ----- 53.46 51.08 53.11 51.66 53.63
 14.  54.56 51.52 52.77 55.37 56.74 53.44 53.06 55.68 55.79 51.64 54.29 55.20 53.46 ----- 54.49 52.82 55.66 56.53
 15.  53.27 50.02 53.53 63.38 51.47 52.56 52.69 56.66 56.34 48.96 51.83 55.81 51.08 54.49 ----- 51.20 53.23 54.88
 16.  52.23 52.85 50.62 51.65 51.58 51.95 51.75 54.05 54.01 50.59 55.05 54.19 53.11 52.82 51.20 ----- 52.65 54.32
 17.  52.28 51.98 52.31 54.08 53.84 54.10 53.76 54.20 55.13 51.19 52.56 53.88 51.66 55.66 53.23 52.65 ----- 55.97
 18.  54.62 52.37 53.23 54.53 56.41 56.30 55.89 56.35 57.99 53.64 56.02 56.68 53.63 56.53 54.88 54.32 55.97 -----

